0, 6000.0, 0.0
0.01, 5998.39035238, 0.160964761533
0.02, 5996.78075053, 0.160960185718
0.03, 5995.17119443, 0.160955609536
0.04, 5993.5616841, 0.160951032987
0.05, 5991.95221954, 0.160946456072
0.06, 5990.34280075, 0.160941878791
0.07, 5988.73342774, 0.160937301144
0.08, 5987.12410051, 0.160932723132
0.09, 5985.51481906, 0.160928144754
0.1, 5983.9055834, 0.160923566011
0.11, 5982.29639353, 0.160918986902
0.12, 5980.68724946, 0.160914407429
0.13, 5979.07815118, 0.160909827592
0.14, 5977.46909871, 0.16090524739
0.15, 5975.86009204, 0.160900666824
0.16, 5974.25113118, 0.160896085893
0.17, 5972.64221614, 0.1608915046
0.18, 5971.03334691, 0.160886922942
0.19, 5969.4245235, 0.160882340922
0.2, 5967.81574591, 0.160877758538
0.21, 5966.20701415, 0.160873175792
0.22, 5964.59832823, 0.160868592683
0.23, 5962.98968814, 0.160864009211
0.24, 5961.38109388, 0.160859425377
0.25, 5959.77254547, 0.160854841182
0.26, 5958.1640429, 0.160850256624
0.27, 5956.55558619, 0.160845671705
0.28, 5954.94717532, 0.160841086425
0.29, 5953.33881032, 0.160836500784
0.3, 5951.73049117, 0.160831914782
0.31, 5950.12221788, 0.160827328419
0.32, 5948.51399047, 0.160822741696
0.33, 5946.90580892, 0.160818154612
0.34, 5945.29767325, 0.160813567169
0.35, 5943.68958345, 0.160808979366
0.36, 5942.08153954, 0.160804391203
0.37, 5940.47354152, 0.160799802681
0.38, 5938.86558938, 0.1607952138
0.39, 5937.25768313, 0.160790624561
0.4, 5935.64982278, 0.160786034962
0.41, 5934.04200833, 0.160781445006
0.42, 5932.43423979, 0.160776854691
0.43, 5930.82651715, 0.160772264018
0.44, 5929.21884042, 0.160767672988
0.45, 5927.6112096, 0.1607630816
0.46, 5926.0036247, 0.160758489855
0.47, 5924.39608572, 0.160753897752
0.48, 5922.78859267, 0.160749305294
0.49, 5921.18114555, 0.160744712478
0.5, 5919.57374435, 0.160740119306
0.51, 5917.96638909, 0.160735525779
0.52, 5916.35907978, 0.160730931895
0.53, 5914.7518164, 0.160726337656
0.54, 5913.14459897, 0.160721743061
0.55, 5911.53742749, 0.160717148112
0.56, 5909.93030196, 0.160712552807
0.57, 5908.32322239, 0.160707957148
0.58, 5906.71618878, 0.160703361134
0.59, 5905.10920113, 0.160698764766
0.6, 5903.50225945, 0.160694168045
0.61, 5901.89536374, 0.160689570969
0.62, 5900.288514, 0.16068497354
0.63, 5898.68171025, 0.160680375758
0.64, 5897.07495247, 0.160675777623
0.65, 5895.46824068, 0.160671179135
0.66, 5893.86157488, 0.160666580295
0.67, 5892.25495506, 0.160661981102
0.68, 5890.64838125, 0.160657381557
0.69, 5889.04185343, 0.160652781661
0.7, 5887.43537162, 0.160648181413
0.71, 5885.82893581, 0.160643580813
0.72, 5884.22254601, 0.160638979863
0.73, 5882.61620223, 0.160634378562
0.74, 5881.00990446, 0.16062977691
0.75, 5879.40365271, 0.160625174908
0.76, 5877.79744698, 0.160620572556
0.77, 5876.19128728, 0.160615969854
0.78, 5874.58517362, 0.160611366802
0.79, 5872.97910598, 0.160606763401
0.8, 5871.37308438, 0.160602159651
0.81, 5869.76710883, 0.160597555553
0.82, 5868.16117932, 0.160592951105
0.83, 5866.55529586, 0.160588346309
0.84, 5864.94945844, 0.160583741166
0.85, 5863.34366709, 0.160579135674
0.86, 5861.73792179, 0.160574529834
0.87, 5860.13222255, 0.160569923648
0.88, 5858.52656938, 0.160565317114
0.89, 5856.92096228, 0.160560710233
0.9, 5855.31540125, 0.160556103006
0.91, 5853.70988629, 0.160551495433
0.92, 5852.10441742, 0.160546887513
0.93, 5850.49899463, 0.160542279248
0.94, 5848.89361792, 0.160537670637
0.95, 5847.2882873, 0.16053306168
0.96, 5845.68300278, 0.160528452379
0.97, 5844.07776435, 0.160523842733
0.98, 5842.47257202, 0.160519232742
0.99, 5840.8674258, 0.160514622407
1.0, 5839.26232568, 0.160510011728
1.01, 5837.65727168, 0.160505400705
1.02, 5836.05226378, 0.160500789338
1.03, 5834.44730201, 0.160496177629
1.04, 5832.84238635, 0.160491565576
1.05, 5831.23751682, 0.160486953181
1.06, 5829.63269341, 0.160482340443
1.07, 5828.02791614, 0.160477727363
1.08, 5826.423185, 0.160473113941
1.09, 5824.8185, 0.160468500177
1.1, 5823.21386114, 0.160463886072
1.11, 5821.60926842, 0.160459271626
1.12, 5820.00472185, 0.160454656838
1.13, 5818.40022144, 0.16045004171
1.14, 5816.79576718, 0.160445426242
1.15, 5815.19135907, 0.160440810434
1.16, 5813.58699713, 0.160436194286
1.17, 5811.98268135, 0.160431577798
1.18, 5810.37841174, 0.160426960971
1.19, 5808.7741883, 0.160422343805
1.2, 5807.17001104, 0.1604177263
1.21, 5805.56587995, 0.160413108456
1.22, 5803.96179505, 0.160408490275
1.23, 5802.35775633, 0.160403871755
1.24, 5800.75376381, 0.160399252898
1.25, 5799.14981747, 0.160394633703
1.26, 5797.54591733, 0.160390014171
1.27, 5795.94206338, 0.160385394302
1.28, 5794.33825564, 0.160380774097
1.29, 5792.73449411, 0.160376153555
1.3, 5791.13077878, 0.160371532678
1.31, 5789.52710967, 0.160366911464
1.32, 5787.92348677, 0.160362289915
1.33, 5786.31991009, 0.160357668031
1.34, 5784.71637963, 0.160353045812
1.35, 5783.1128954, 0.160348423258
1.36, 5781.50945739, 0.160343800369
1.37, 5779.90606562, 0.160339177147
1.38, 5778.30272008, 0.16033455359
1.39, 5776.69942079, 0.160329929701
