num	sec	rec_time	TOP	BOTTOM	EXT	COINC	Int_pressure	Int_Temp	Int_Hum	mean_alt	mean_alt_error	Mean_latitude	Mean_latitude_error	Mean_longitude	Mean_longitude_error	Mean_temperature	Mean_temperature_error	Mean_pressure	Mean_pressure_error	Mean_humidity_error	Mean_humidity_error
2	600	600	5293	4839	0	961	915.93	16.47	31.70	927.8591028792135	1.0839002617606766	46.47065478824012	4.2075865324368515e-05	7.127251903836587	3.385154485062845e-05	5.486966292134832	1.4635530143558424	916.7577528089887	7.268560241467382	49.98426966292135	5.0647248641711835
3	1200	600	5233	4882	0	1148	876.56	19.32	28.42	1156.0486379214224	212.47237574424926	46.471143757771756	0.0005533046854481774	7.12742947578011	0.001316272553702252	5.308459869848156	0.9158486534257514	888.7101952277658	21.803489446018126	50.6529284164859	4.609823648557254
4	1800	600	6533	6255	0	1592	876.56	19.32	28.42	2177.107713537243	344.47713942350725	46.4722332763199	0.0012479426932870605	7.134663848704687	0.00465112985802073	3.2888412017167385	1.351792621809896	762.6991416309013	33.35296216380357	41.60085836909871	2.4528863862228745
5	2400	600	9412	8989	0	2351	692.25	21.05	23.58	3243.241386353998	250.2982257164059	46.48444321917999	0.006683639239354081	7.150829357174293	0.0043007820464483915	-1.4125541125541126	1.4656434738797757	667.9764069264069	27.289409837047124	37.65584415584416	2.571185326725907
6	3001	600	11281	10676	0	2949	692.25	21.05	23.58	3705.10583080569	75.42554439392788	46.51262421376933	0.00864202313933129	7.1530300917097955	0.0014289962278891035	-4.332034632034632	0.6553903820725298	633.5119047619048	6.864004315728605	36.8008658008658	0.46449631445947615
7	3601	600	12136	11673	0	3101	630.31	22.83	22.38	3936.3568033210845	61.29725017706926	46.53981329265923	0.006815200705130036	7.155969466341609	0.004342438997025202	-6.396375266524521	0.2432186358074427	624.4125799573561	5.5303534933791125	36.833688699360344	1.7072701177330665
8	4201	600	11320	10867	0	2829	639.03	23.63	20.79	3748.42383205021	57.87872463681141	46.56437256454057	0.008107935220174165	7.164816520321777	0.0005508722797464154	-5.64759825327511	0.2086678378360386	641.474672489083	3.504316178605489	41.70305676855895	1.0692360662343385
9	4801	600	9319	9126	0	1683	639.03	23.63	20.79	3651.0952338792185	39.70626847853016	46.595004326892344	0.009520572053921076	7.162618293735818	0.0003889489376653261	-6.195143487858719	0.5086217269139597	646.5913907284769	2.415757882186146	44.54525386313466	1.7719436552701002
10	5401	600	9305	9042	0	1600	644.99	24.11	19.77	3664.342657413041	26.098140893243595	46.627866592066155	0.009237007245381207	7.164912632777155	0.0011971701378441937	-6.25261958997722	0.487087217851084	648.2712984054671	3.3777236069827103	45.50341685649203	1.5668438705286984
11	6001	600	9092	8910	0	1401	644.99	24.11	19.77	3649.0295670593623	30.954551529792592	46.66056794393966	0.009399235041225034	7.172830452772489	0.003477638422141316	-5.697078651685394	0.47458131103131795	648.2177528089888	2.277624305767404	44.68314606741573	1.0302433393207995
12	6601	600	9052	8810	0	1435	649.27	25.76	17.66	3654.8941709918186	23.22918103000503	46.68914956586567	0.0074380563228072325	7.187616093710406	0.004775615171240381	-6.058928571428573	0.7866127168604196	648.3941964285714	2.7168147507673845	43.4375	0.49607837082461076
13	7201	600	9386	9044	0	1475	644.95	26.31	16.30	3680.4012039266995	30.561744978445162	46.714712217268634	0.0073391397167741415	7.202433318956494	0.004871053589758067	-6.927516778523491	0.42196817957408506	646.9892617449665	1.5514361221491682	42.74944071588367	0.6344638917468698
14	7801	600	9068	9062	0	1555	644.95	26.31	16.30	3635.642588126379	43.17720323658731	46.73926539546189	0.008096110998301667	7.21828080394279	0.0036909483101386035	-6.624431818181819	0.5430602635957581	647.8136363636364	2.9213626108602515	42.78409090909091	0.7377617199149742
15	8401	600	7196	7115	0	1222	683.64	25.71	16.98	2881.433045542125	498.34424464326594	46.77060843705829	0.006687410063956646	7.233074095572562	0.006178366647620624	-6.286842105263158	0.3807686496324721	645.0142105263159	2.297552051502396	42.90263157894737	0.9805977881683523
16	9001	600	4580	4570	0	606	683.64	25.71	16.98	1069.6152524112636	300.6201133941067	46.77785492829621	0.00034020359334544035	7.243251400835413	0.0015047026833295979	-6.550566893424037	0.2673560743064958	648.237641723356	3.564862264465254	41.74149659863946	0.7007132942486036
17	9601	600	5265	4999	0	478	928.70	25.55	19.62	794.461869046774	1.0952882739088945	46.77716048894955	0.00022667303331605363	7.248356856626437	0.0005902007065939676	-5.3950450450450465	1.1707096283908234	658.5477477477477	8.988499627746021	43.945945945945944	0.4419008457092152

